month,site_id,units_produced
2023-09-01,P-FRS,28375
2023-10-01,P-FRS,27691
2023-11-01,P-FRS,30196
2023-12-01,P-FRS,27493
2024-01-01,P-FRS,27559
2024-02-01,P-FRS,24287
2024-03-01,P-FRS,25799
2024-04-01,P-FRS,22922
2024-05-01,P-FRS,24113
2024-06-01,P-FRS,23350
2024-07-01,P-FRS,26225
2024-08-01,P-FRS,25449
2024-09-01,P-FRS,26896
2024-10-01,P-FRS,30295
2024-11-01,P-FRS,27702
2024-12-01,P-FRS,25908
2022-01-01,P-PHX,15007
2022-02-01,P-PHX,16151
2022-03-01,P-PHX,14436
2022-04-01,P-PHX,12814
2022-05-01,P-PHX,13414
2022-06-01,P-PHX,13675
2022-07-01,P-PHX,15014
2022-08-01,P-PHX,15438
2022-09-01,P-PHX,15577
2022-10-01,P-PHX,15869
2022-11-01,P-PHX,16289
2022-12-01,P-PHX,15762
2023-01-01,P-PHX,15610
2023-02-01,P-PHX,14826
2023-03-01,P-PHX,14705
2023-04-01,P-PHX,13782
2023-05-01,P-PHX,13978
2023-06-01,P-PHX,15268
2023-07-01,P-PHX,14333
2023-08-01,P-PHX,14525
2023-09-01,P-PHX,15263
2023-10-01,P-PHX,16444
2023-11-01,P-PHX,16293
2023-12-01,P-PHX,14818
2024-01-01,P-PHX,15580
2024-02-01,P-PHX,14684
2024-03-01,P-PHX,14567
2024-04-01,P-PHX,12851
2024-05-01,P-PHX,14589
2024-06-01,P-PHX,14236
2024-07-01,P-PHX,13677
2024-08-01,P-PHX,15256
2024-09-01,P-PHX,16074
2024-10-01,P-PHX,15748
2024-11-01,P-PHX,15991
2024-12-01,P-PHX,16277
