month,site_id,supplier_id,supplier_name,commodity,category,country,tier,is_single_source,on_contract,qty,market_ppi_index,standard_unit_price,actual_unit_price,baseline_unit_price,actual_spend,standard_spend,ppv_usd,savings_usd
2022-02-01,P-TOL,SUP-RES1,Gulf Coast Polymers,Plastic Resin,Direct Materials,USA,Strategic,False,True,70247,100.06,0.8966,0.822,0.8207,57746.12,62986.96,-5240.83,-90.87
2022-02-01,P-TOL,SUP-RES2,Pacific Resin Traders,Plastic Resin,Direct Materials,Taiwan,Preferred,False,True,36037,100.06,0.8966,0.8628,0.8505,31094.07,32313.0,-1218.94,-443.52
2022-03-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,402844,93.92,1.0478,1.0066,0.997,405519.48,422118.74,-16599.26,-3898.89
2022-03-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,180424,93.92,1.0478,1.0489,1.0331,189242.43,189057.14,185.29,-2841.92
2022-03-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,71933,93.92,1.0478,1.1275,1.0951,81103.9,75374.93,5728.97,-2329.19
2022-03-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,32867,101.28,2.2239,2.2619,2.2479,74345.24,73093.82,1251.42,-461.29
2022-03-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,17645,101.28,2.2239,2.2982,2.3294,40551.95,39240.57,1311.37,551.43
2022-03-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,8471,101.28,2.2239,2.3934,2.4692,20275.97,18839.67,1436.3,642.08
2022-03-01,P-TOL,SUP-RES1,Gulf Coast Polymers,Plastic Resin,Direct Materials,USA,Strategic,False,True,71702,100.1,0.8966,0.8169,0.8211,58575.04,64291.5,-5716.47,297.87
2022-03-01,P-TOL,SUP-RES2,Pacific Resin Traders,Plastic Resin,Direct Materials,Taiwan,Preferred,False,True,37203,100.1,0.8966,0.8478,0.8508,31540.4,33358.54,-1818.14,114.55
2022-04-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,394046,95.81,1.0478,1.0075,1.017,396995.37,412899.87,-15904.5,3759.52
2022-04-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,179179,95.81,1.0478,1.034,1.0539,185264.51,187752.08,-2487.57,3574.42
2022-04-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,70391,95.81,1.0478,1.128,1.1171,79399.07,73759.43,5639.65,-761.49
2022-04-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,31878,101.61,2.2239,2.2831,2.2552,72782.49,70893.1,1889.38,-889.55
2022-04-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,16946,101.61,2.2239,2.3426,2.337,39699.54,37686.87,2012.66,-95.0
2022-04-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,8034,101.61,2.2239,2.4706,2.4773,19849.77,17867.64,1982.13,53.66
2022-04-01,P-TOL,SUP-RES1,Gulf Coast Polymers,Plastic Resin,Direct Materials,USA,Strategic,False,True,67497,104.1,0.8966,0.8496,0.8539,57343.78,60520.59,-3176.82,290.61
2022-04-01,P-TOL,SUP-RES2,Pacific Resin Traders,Plastic Resin,Direct Materials,Taiwan,Preferred,False,True,35651,104.1,0.8966,0.8661,0.8848,30877.42,31966.57,-1089.15,668.8
2022-05-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,368337,100.31,1.0478,1.0749,1.0648,395930.3,385960.84,9969.46,-3727.47
2022-05-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,166140,100.31,1.0478,1.1121,1.1034,184767.48,174089.53,10677.95,-1446.22
2022-05-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,67781,100.31,1.0478,1.1683,1.1696,79186.06,71024.03,8162.03,91.7
2022-05-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,31788,102.23,2.2239,2.2834,2.269,72587.22,70693.62,1893.61,-459.15
2022-05-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,16953,102.23,2.2239,2.3354,2.3513,39593.03,37702.29,1890.74,269.47
2022-05-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,8097,102.23,2.2239,2.4447,2.4924,19796.52,18008.43,1788.09,386.15
2022-05-01,P-TOL,SUP-RES1,Gulf Coast Polymers,Plastic Resin,Direct Materials,USA,Strategic,False,True,65126,105.9,0.8966,0.8781,0.8686,57189.93,58395.3,-1205.37,-617.92
2022-05-01,P-TOL,SUP-RES2,Pacific Resin Traders,Plastic Resin,Direct Materials,Taiwan,Preferred,False,True,34590,105.9,0.8966,0.8903,0.9002,30794.58,31015.4,-220.82,342.2
2022-06-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,406408,97.38,1.0478,1.022,1.0337,415347.63,425852.68,-10505.04,4752.1
2022-06-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,180971,97.38,1.0478,1.071,1.0712,193828.9,189629.72,4199.18,23.91
2022-06-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,72308,97.38,1.0478,1.1488,1.1355,83069.53,75768.19,7301.34,-966.63
2022-06-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,32713,103.09,2.2239,2.3277,2.2881,76147.07,72749.53,3397.54,-1296.95
2022-06-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,17000,103.09,2.2239,2.4431,2.3711,41534.76,37807.97,3726.79,-1224.25
2022-06-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,8441,103.09,2.2239,2.4602,2.5133,20767.38,18772.59,1994.79,448.69
2022-06-01,P-TOL,SUP-RES1,Gulf Coast Polymers,Plastic Resin,Direct Materials,USA,Strategic,False,True,69693,107.18,0.8966,0.8608,0.8791,59994.66,62489.96,-2495.31,1275.9
2022-06-01,P-TOL,SUP-RES2,Pacific Resin Traders,Plastic Resin,Direct Materials,Taiwan,Preferred,False,True,35036,107.18,0.8966,0.922,0.911,32304.82,31415.38,889.44,-385.28
2022-07-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,412628,92.83,1.0478,0.9638,0.9854,397706.35,432370.78,-34664.43,8894.18
2022-07-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,177512,92.83,1.0478,1.0455,1.0211,185596.29,186004.99,-408.69,-4333.41
2022-07-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,71905,92.83,1.0478,1.1062,1.0824,79541.27,75345.94,4195.33,-1710.74
2022-07-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,31613,103.64,2.2239,2.3064,2.3003,72912.83,70305.16,2607.67,-191.74
2022-07-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,16854,103.64,2.2239,2.3597,2.3837,39770.63,37481.67,2288.96,405.19
2022-07-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,7848,103.64,2.2239,2.5336,2.5267,19885.32,17454.18,2431.13,-54.01
2022-07-01,P-TOL,SUP-RES1,Gulf Coast Polymers,Plastic Resin,Direct Materials,USA,Strategic,False,True,69219,105.06,0.8966,0.8299,0.8618,57446.47,62065.12,-4618.65,2203.85
2022-07-01,P-TOL,SUP-RES2,Pacific Resin Traders,Plastic Resin,Direct Materials,Taiwan,Preferred,False,True,34367,105.06,0.8966,0.9001,0.893,30932.72,30815.36,117.36,-242.14
2022-08-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,437566,88.36,1.0478,0.945,0.9379,413503.97,458501.19,-44997.21,-3092.57
2022-08-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,200068,88.36,1.0478,0.9645,0.972,192968.52,209640.78,-16672.26,1490.19
2022-08-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,79577,88.36,1.0478,1.0392,1.0303,82700.79,83385.33,-684.53,-713.39
2022-08-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,32724,104.02,2.2239,2.3166,2.3087,75809.06,72775.59,3033.47,-256.65
2022-08-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,16922,104.02,2.2239,2.4435,2.3925,41350.4,37633.75,3716.65,-863.66
2022-08-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,8234,104.02,2.2239,2.5107,2.536,20675.2,18312.88,2362.32,208.03
2022-08-01,P-TOL,SUP-RES1,Gulf Coast Polymers,Plastic Resin,Direct Materials,USA,Strategic,False,True,71628,101.8,0.8966,0.8339,0.835,59728.35,64224.73,-4496.38,82.21
2022-08-01,P-TOL,SUP-RES2,Pacific Resin Traders,Plastic Resin,Direct Materials,Taiwan,Preferred,False,True,36410,101.8,0.8966,0.8833,0.8653,32161.42,32647.39,-485.97,-655.17
2022-09-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,515269,83.39,1.0478,0.8798,0.8852,453321.68,539922.02,-86600.34,2786.92
2022-09-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,232842,83.39,1.0478,0.9086,0.9173,211550.12,243982.68,-32432.56,2033.97
2022-09-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,92992,83.39,1.0478,0.975,0.9723,90664.34,97441.23,-6776.9,-245.58
2022-09-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,35542,104.3,2.2239,2.3383,2.3149,83108.98,79042.28,4066.7,-829.88
2022-09-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,19159,104.3,2.2239,2.366,2.3989,45332.17,42608.61,2723.55,629.96
2022-09-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,8998,104.3,2.2239,2.5189,2.5428,22666.08,20011.04,2655.04,215.09
2022-09-01,P-TOL,SUP-RES1,Gulf Coast Polymers,Plastic Resin,Direct Materials,USA,Strategic,False,True,78654,100.78,0.8966,0.8325,0.8266,65479.8,70524.76,-5044.96,-460.28
2022-09-01,P-TOL,SUP-RES2,Pacific Resin Traders,Plastic Resin,Direct Materials,Taiwan,Preferred,False,True,40547,100.78,0.8966,0.8695,0.8566,35258.35,36356.98,-1098.63,-523.72
2022-10-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,558115,79.56,1.0478,0.8645,0.8445,482478.97,584817.88,-102338.91,-11134.23
2022-10-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,261858,79.56,1.0478,0.8598,0.8752,225156.85,274386.42,-49229.57,4010.81
2022-10-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,101872,79.56,1.0478,0.9472,0.9277,96495.79,106746.22,-10250.42,-1992.04
2022-10-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,38760,104.57,2.2239,2.2821,2.3209,88454.48,86199.09,2255.39,1506.79
2022-10-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,20364,104.57,2.2239,2.3692,2.4051,48247.9,45287.47,2960.43,730.39
2022-10-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,9283,104.57,2.2239,2.5986,2.5494,24123.95,20644.94,3479.01,-456.85
2022-10-01,P-TOL,SUP-RES1,Gulf Coast Polymers,Plastic Resin,Direct Materials,USA,Strategic,False,True,85655,98.45,0.8966,0.8136,0.8075,69691.41,76802.25,-7110.85,-521.45
2022-10-01,P-TOL,SUP-RES2,Pacific Resin Traders,Plastic Resin,Direct Materials,Taiwan,Preferred,False,True,44403,98.45,0.8966,0.8451,0.8368,37526.14,39814.19,-2288.05,-367.99
2022-11-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,572230,77.44,1.0478,0.8235,0.822,471259.12,599607.94,-128348.81,-871.42
2022-11-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,255132,77.44,1.0478,0.862,0.8518,219920.92,267338.63,-47417.71,-2589.26
2022-11-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,105121,77.44,1.0478,0.8966,0.903,94251.82,110151.2,-15899.37,667.88
2022-11-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,37496,104.96,2.2239,2.3042,2.3296,86397.51,83386.99,3010.51,953.5
2022-11-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,19827,104.96,2.2239,2.3768,2.4141,47125.91,44093.35,3032.56,738.79
2022-11-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,9231,104.96,2.2239,2.5523,2.5589,23562.96,20530.53,3032.42,60.77
2022-11-01,P-TOL,SUP-RES1,Gulf Coast Polymers,Plastic Resin,Direct Materials,USA,Strategic,False,True,89610,93.23,0.8966,0.7596,0.7647,68070.76,80348.21,-12277.45,455.92
2022-11-01,P-TOL,SUP-RES2,Pacific Resin Traders,Plastic Resin,Direct Materials,Taiwan,Preferred,False,True,45878,93.23,0.8966,0.7989,0.7925,36653.49,41136.84,-4483.35,-296.57
2022-12-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,548134,76.21,1.0478,0.8165,0.809,447532.38,574359.6,-126827.23,-4108.48
2022-12-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,249319,76.21,1.0478,0.8377,0.8383,208848.44,261247.6,-52399.16,158.26
2022-12-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,102029,76.21,1.0478,0.8773,0.8886,89506.48,106910.67,-17404.19,1157.51
2022-12-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,35038,105.29,2.2239,2.3417,2.3369,82047.6,77920.74,4126.86,-166.07
2022-12-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,18667,105.29,2.2239,2.3974,2.4217,44753.24,41514.31,3238.93,453.52
2022-12-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,8703,105.29,2.2239,2.5709,2.567,22376.62,19356.09,3020.53,-34.26
2022-12-01,P-TOL,SUP-RES1,Gulf Coast Polymers,Plastic Resin,Direct Materials,USA,Strategic,False,True,87456,92.12,0.8966,0.7391,0.7556,64643.57,78417.28,-13773.72,1440.01
2022-12-01,P-TOL,SUP-RES2,Pacific Resin Traders,Plastic Resin,Direct Materials,Taiwan,Preferred,False,True,43446,92.12,0.8966,0.8012,0.783,34808.07,38955.91,-4147.83,-788.59
2023-01-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,578939,76.41,0.9886,0.8192,1.0615,474238.74,572316.69,-98077.96,140305.3
2023-01-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,259907,76.41,0.9886,0.8515,1.1,221311.41,256934.1,-35622.69,64586.54
2023-01-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,103599,76.41,0.9886,0.9155,1.166,94847.75,102414.46,-7566.72,25949.34
2023-01-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,37485,106.21,2.3684,2.3194,2.2195,86943.77,88778.74,-1834.97,-3745.35
2023-01-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,19067,106.21,2.3684,2.4872,2.3,47423.87,45158.15,2265.72,-3569.3
2023-01-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,9374,106.21,2.3684,2.5294,2.438,23711.94,22202.76,1509.18,-856.39
2023-01-01,P-TOL,SUP-RES1,Gulf Coast Polymers,Plastic Resin,Direct Materials,USA,Strategic,False,True,90676,90.58,0.8562,0.7554,0.8202,68501.15,77639.36,-9138.21,5876.63
2023-01-01,P-TOL,SUP-RES2,Pacific Resin Traders,Plastic Resin,Direct Materials,Taiwan,Preferred,False,True,48433,90.58,0.8562,0.7616,0.85,36885.24,41469.75,-4584.51,4283.3
2023-02-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,537528,78.56,0.9886,0.8238,1.0615,442839.5,531379.66,-88540.16,127747.04
2023-02-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,240888,78.56,0.9886,0.8579,1.1,206658.43,238133.19,-31474.76,58319.2
2023-02-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,98319,78.56,0.9886,0.9008,1.166,88567.9,97194.93,-8627.03,26072.79
2023-02-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,33654,106.25,2.3684,2.4124,2.2195,81187.24,79706.82,1480.42,-6490.52
2023-02-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,17607,106.25,2.3684,2.515,2.3,44283.95,41701.45,2582.5,-3786.29
2023-02-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,8716,106.25,2.3684,2.5402,2.438,22141.98,20644.41,1497.56,-890.59
2023-02-01,P-TOL,SUP-RES1,Gulf Coast Polymers,Plastic Resin,Direct Materials,USA,Strategic,False,True,84783,92.62,0.8562,0.7545,0.8202,63965.71,72593.46,-8627.76,5578.16
2023-02-01,P-TOL,SUP-RES2,Pacific Resin Traders,Plastic Resin,Direct Materials,Taiwan,Preferred,False,True,43693,92.62,0.8562,0.7883,0.85,34443.07,37411.05,-2967.98,2696.25
2023-03-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,479624,80.48,0.9886,0.8707,1.0615,417590.16,474137.8,-56547.64,91531.03
2023-03-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,218110,80.48,0.9886,0.8935,1.1,194875.41,215615.26,-20739.85,45045.87
2023-03-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,89089,80.48,0.9886,0.9375,1.166,83518.03,88070.01,-4551.98,20359.88
2023-03-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,32840,106.38,2.3684,2.3312,2.2195,76558.2,77778.19,-1220.0,-3668.87
2023-03-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,17010,106.38,2.3684,2.4549,2.3,41759.02,40286.93,1472.09,-2635.05
2023-03-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,8017,106.38,2.3684,2.6043,2.438,20879.51,18988.2,1891.31,-1333.04
2023-03-01,P-TOL,SUP-RES1,Gulf Coast Polymers,Plastic Resin,Direct Materials,USA,Strategic,False,True,77723,93.44,0.8562,0.7761,0.8202,60318.58,66548.19,-6229.61,3433.97
2023-03-01,P-TOL,SUP-RES2,Pacific Resin Traders,Plastic Resin,Direct Materials,Taiwan,Preferred,False,True,40130,93.44,0.8562,0.8093,0.85,32479.23,34360.33,-1881.09,1631.51
2023-04-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,453465,82.15,0.9886,0.8769,1.0615,397646.5,448278.55,-50632.05,83707.47
2023-04-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,210284,82.15,0.9886,0.8825,1.1,185568.37,207878.62,-22310.26,45744.14
2023-04-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,82468,82.15,0.9886,0.9644,1.166,79529.3,81525.24,-1995.94,16629.1
2023-04-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,30643,106.48,2.3684,2.379,2.2195,72901.86,72575.37,326.49,-4888.33
2023-04-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,15818,106.48,2.3684,2.5137,2.3,39764.65,37465.16,2299.49,-3380.99
2023-04-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,7585,106.48,2.3684,2.621,2.438,19882.33,17965.72,1916.6,-1388.39
2023-04-01,P-TOL,SUP-RES1,Gulf Coast Polymers,Plastic Resin,Direct Materials,USA,Strategic,False,True,74209,94.95,0.8562,0.774,0.8202,57437.83,63539.57,-6101.74,3432.49
2023-04-01,P-TOL,SUP-RES2,Pacific Resin Traders,Plastic Resin,Direct Materials,Taiwan,Preferred,False,True,38275,94.95,0.8562,0.808,0.85,30928.06,32772.05,-1843.99,1605.95
2023-05-01,P-TOL,SUP-STL1,Great Lakes Steel Co.,Steel & Metal,Direct Materials,USA,Strategic,False,True,468399,84.09,0.9886,0.8685,1.0615,406786.58,463041.49,-56254.91,90419.59
2023-05-01,P-TOL,SUP-STL2,Rio Grande Metals,Steel & Metal,Direct Materials,Mexico,Preferred,False,True,205987,84.09,0.9886,0.9216,1.1,189833.74,203631.2,-13797.46,36752.54
2023-05-01,P-TOL,SUP-STL3,Keystone Alloy Supply,Steel & Metal,Direct Materials,USA,Transactional,False,False,81968,84.09,0.9886,0.9925,1.166,81357.32,81030.42,326.89,14217.45
2023-05-01,P-TOL,SUP-ELE1,Shenzhen Circuit Works,Electrical/Electronic,Direct Materials,China,Strategic,False,True,31814,105.94,2.3684,2.3441,2.2195,74577.54,75348.3,-770.76,-3965.37
2023-05-01,P-TOL,SUP-ELE2,Lone Star Connectors,Electrical/Electronic,Direct Materials,USA,Preferred,False,True,16202,105.94,2.3684,2.5107,2.3,40678.66,38372.95,2305.71,-3413.41
2023-05-01,P-TOL,SUP-ELE3,Vertex Components,Electrical/Electronic,Direct Materials,USA,Transactional,False,False,7880,105.94,2.3684,2.5811,2.438,20339.33,18663.03,1676.3,-1127.59
